StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,"Consent Form ",Practice_2,"Practice_3 ","Practice_4 ",Q1_A ,Q1_B,Q2_A,Q2_B,Q3_A,Q3_B,Q4_A,Q4_B,Q5_A,Q5_B,Q6_A,Q6_B,Q7_A,Q7_B,Q8_A,Q8_B,Q9_A,Q9_B,Q10_A,Q10_B,Q11_A,Q11_B,Q12_A,Q12_B,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
2024-02-24 16:58:20,2024-02-24 17:02:12,0,100,231,1,2024-02-24 17:02:12,R_7K8fm4tJ1bwnGOu,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:59:13,2024-02-24 17:02:16,0,100,183,1,2024-02-24 17:02:17,R_7BrJz019sEYHr8Z,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2",3,"1,2","1,2,3","1,2","1,2,3","1,2,3","1,2","1,2","1,2,3",3,"1,2","1,2","1,2,3","1,2","1,2,3","1,2","1,2,3","1,2,3","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:58:27,2024-02-24 17:02:23,0,100,236,1,2024-02-24 17:02:23,R_3ZH7kgXDmO3lQe5,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:59:37,2024-02-24 17:02:32,0,100,175,1,2024-02-24 17:02:33,R_38Z1l7tSHcWYomE,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,3","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:59:34,2024-02-24 17:02:39,0,100,185,1,2024-02-24 17:02:40,R_624IH2ovU5rqri2,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:59:00,2024-02-24 17:02:59,0,100,238,1,2024-02-24 17:02:59,R_3uKbtrVOUD07VT0,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,"1,2","1,2",4,4,4,4,4,4
2024-02-24 17:00:15,2024-02-24 17:03:00,0,100,165,1,2024-02-24 17:03:01,R_1PPTkjaF3ZQEFtT,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:59:53,2024-02-24 17:03:23,0,100,210,1,2024-02-24 17:03:24,R_5DGfaXnCGCgcHRI,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,"1,2,3","1,2",4,4,4,4,4,4
2024-02-24 17:00:22,2024-02-24 17:03:35,0,100,193,1,2024-02-24 17:03:36,R_1hMPozPqQSzUlKV,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:59:20,2024-02-24 17:03:37,0,100,257,1,2024-02-24 17:03:38,R_3zI1Hfmr6mgWUrI,anonymous,EN,1,3,"1,2,3",4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:00:41,2024-02-24 17:03:44,0,100,183,1,2024-02-24 17:03:45,R_3eQSR9SZ4o3AWNb,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:00:12,2024-02-24 17:03:59,0,100,227,1,2024-02-24 17:04:00,R_1RVGtOXbWfo0hYl,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:59:29,2024-02-24 17:04:16,0,100,287,1,2024-02-24 17:04:17,R_5e2uGZJx1KkcRm6,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2,3","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:01:53,2024-02-24 17:04:25,0,100,151,1,2024-02-24 17:04:26,R_5mdWy4ESdI3PzQu,anonymous,EN,1,3,"1,2,3",4,3,"1,2,3",3,3,3,3,3,3,3,3,3,3,3,"1,2,3",3,3,3,3,3,"1,2,3",3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:00:48,2024-02-24 17:04:40,0,100,232,1,2024-02-24 17:04:41,R_6qwPEwjPurfPdcz,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,"1,2",3,"1,2,3",4,4,4,4,4,4
2024-02-24 17:01:16,2024-02-24 17:05:12,0,100,235,1,2024-02-24 17:05:12,R_1332ykqf36IWPXt,anonymous,EN,1,3,"1,2,3",4,2,"1,2","1,2","1,2",2,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",1,"1,2","1,2","1,2",1,"1,2","1,2",3,3,3,"1,2",3,3,4,4,4,4,4,4
2024-02-24 17:00:53,2024-02-24 17:05:21,0,100,267,1,2024-02-24 17:05:22,R_1YS4C4aH5wjKAKs,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,"1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:02:08,2024-02-24 17:05:29,0,100,201,1,2024-02-24 17:05:29,R_394lq9358O8UheI,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",2,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:01:55,2024-02-24 17:06:05,0,100,250,1,2024-02-24 17:06:06,R_6Kv9gazQbOo15vJ,anonymous,EN,1,3,"1,2,3",4,3,"1,2","1,2","1,2",3,3,"1,2","1,2",3,"1,2,3",4,3,3,3,3,3,3,3,"1,2",3,4,"1,2",3,"1,2",3,3,"1,2",3,3,3,4,4,4,4,4,4
2024-02-24 17:02:39,2024-02-24 17:06:06,0,100,207,1,2024-02-24 17:06:07,R_1joCp1KJDCgc9kj,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:03:09,2024-02-24 17:06:24,0,100,195,1,2024-02-24 17:06:24,R_3E4IYIoWEsFeWnK,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:02:58,2024-02-24 17:06:29,0,100,210,1,2024-02-24 17:06:30,R_1vZfWZKi3EGZ0tB,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:59:42,2024-02-24 17:06:34,0,100,411,1,2024-02-24 17:06:34,R_6soWpGbkEWMiXdv,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:03:44,2024-02-24 17:06:36,0,100,172,1,2024-02-24 17:06:37,R_7VkxvmObq692ZAl,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:01:29,2024-02-24 17:06:51,0,100,321,1,2024-02-24 17:06:51,R_6FnLCcVsFJGasSd,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:04:14,2024-02-24 17:07:18,0,100,183,1,2024-02-24 17:07:18,R_1hXSbuOKqG5aZUg,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:02:25,2024-02-24 17:07:26,0,100,300,1,2024-02-24 17:07:27,R_1QG7Vhk0NSspseB,anonymous,EN,1,3,1,4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:02:14,2024-02-24 17:07:39,0,100,325,1,2024-02-24 17:07:39,R_12bXSe5uQbdTQ3e,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:04:27,2024-02-24 17:08:03,0,100,215,1,2024-02-24 17:08:03,R_5kLJvjCc1Xsjo0X,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:04:07,2024-02-24 17:08:34,0,100,267,1,2024-02-24 17:08:35,R_1E626RaolABEWmY,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:04:20,2024-02-24 17:08:42,0,100,261,1,2024-02-24 17:08:42,R_65z7cFKkTI2dGUN,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",3,3,3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:03:21,2024-02-24 17:09:10,0,100,348,1,2024-02-24 17:09:10,R_6FxIhAR1SsrCaPN,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2,3","1,2","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2,3","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:04:23,2024-02-24 17:09:20,0,100,296,1,2024-02-24 17:09:20,R_57ptL6undYYizrc,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:05:14,2024-02-24 17:09:52,0,100,277,1,2024-02-24 17:09:53,R_1KNtd76G7Hg09eC,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:06:29,2024-02-24 17:10:58,0,100,268,1,2024-02-24 17:10:58,R_5vYlOJygImj6jkt,anonymous,EN,1,3,"1,2,3",4,"1,2",3,"1,2",3,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,"1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:06:43,2024-02-24 17:11:09,0,100,265,1,2024-02-24 17:11:09,R_3qfugagfEBzREkK,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:04:41,2024-02-24 17:12:05,0,100,443,1,2024-02-24 17:12:05,R_7UgYRaQaQPGJimd,anonymous,EN,1,3,"1,2,3",4,"1,2,3","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2,3","1,2,3","1,2","1,2","1,2","1,2","1,2","1,2",3,"1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 16:57:39,2024-02-24 17:21:26,0,100,1427,1,2024-02-24 17:21:26,R_7pxnxeBwYJNHpws,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,"1,2","1,2","1,2","1,2","1,2",3,"1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
2024-02-24 17:14:21,2024-02-24 17:22:38,0,100,497,1,2024-02-24 17:22:39,R_5fdWWsLt3tvOnQP,anonymous,EN,1,3,"1,2,3",4,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",3,3,3,3,3,3,4,4,4,4,4,4
